Sample	Richness	Position	Database
S1	841	Saliva	GTDB
S3	944	Saliva	GTDB
S4	824	Saliva	GTDB
S6	839	Saliva	GTDB
S7	842	Saliva	GTDB
S8	841	Saliva	GTDB
S10	782	Saliva	GTDB
S11	852	Saliva	GTDB
S13	729	Saliva	GTDB
S15	962	Saliva	GTDB
S17	904	Saliva	GTDB
S21	1001	Saliva	GTDB
S22	746	Saliva	GTDB
S23	674	Saliva	GTDB
S25	961	Saliva	GTDB
S26	846	Saliva	GTDB
S29	849	Saliva	GTDB
S30	639	Saliva	GTDB
S31	853	Saliva	GTDB
S39	694	Saliva	GTDB
S42	927	Saliva	GTDB
S43	905	Saliva	GTDB
S47	919	Saliva	GTDB
S49	937	Saliva	GTDB
S50	747	Saliva	GTDB
S2	991	Saliva	GTDB
S5	838	Saliva	GTDB
S9	926	Saliva	GTDB
S12	967	Saliva	GTDB
S14	836	Saliva	GTDB
S18	790	Saliva	GTDB
S19	948	Saliva	GTDB
S20	867	Saliva	GTDB
S24	880	Saliva	GTDB
S27	863	Saliva	GTDB
S28	589	Saliva	GTDB
S32	865	Saliva	GTDB
S33	863	Saliva	GTDB
S34	898	Saliva	GTDB
S35	818	Saliva	GTDB
S36	788	Saliva	GTDB
S37	815	Saliva	GTDB
S38	778	Saliva	GTDB
S40	983	Saliva	GTDB
S41	891	Saliva	GTDB
S44	432	Saliva	GTDB
S45	1038	Saliva	GTDB
S46	688	Saliva	GTDB
S51	878	Saliva	GTDB
S52	622	Saliva	GTDB
S54	645	Saliva	GTDB
S56	790	Saliva	GTDB
S57	821	Saliva	GTDB
S58	800	Saliva	GTDB
S59	772	Saliva	GTDB
S60	658	Saliva	GTDB
S61	863	Saliva	GTDB
S63	920	Saliva	GTDB
S64	655	Saliva	GTDB
S66	797	Saliva	GTDB
S68	838	Saliva	GTDB
S69	712	Saliva	GTDB
S70	813	Saliva	GTDB
S71	719	Saliva	GTDB
S72	712	Saliva	GTDB
S73	764	Saliva	GTDB
S74	701	Saliva	GTDB
S78	764	Saliva	GTDB
S79	834	Saliva	GTDB
S80	757	Saliva	GTDB
S81	664	Saliva	GTDB
S82	865	Saliva	GTDB
S83	677	Saliva	GTDB
S89	481	Saliva	GTDB
S90	549	Saliva	GTDB
S91	597	Saliva	GTDB
S92	789	Saliva	GTDB
S93	886	Saliva	GTDB
S95	931	Saliva	GTDB
S96	715	Saliva	GTDB
S99	767	Saliva	GTDB
S101	816	Saliva	GTDB
S102	732	Saliva	GTDB
S53	712	Saliva	GTDB
S55	604	Saliva	GTDB
S62	759	Saliva	GTDB
S65	806	Saliva	GTDB
S67	572	Saliva	GTDB
S75	838	Saliva	GTDB
S77	874	Saliva	GTDB
S86	853	Saliva	GTDB
S87	700	Saliva	GTDB
S88	902	Saliva	GTDB
S94	1083	Saliva	GTDB
S97	892	Saliva	GTDB
S76	799	Saliva	GTDB
S84	806	Saliva	GTDB
S85	816	Saliva	GTDB
S98	590	Saliva	GTDB
S100	952	Saliva	GTDB
S103	542	Saliva	GTDB
U1	263	Urine	GTDB
U3	219	Urine	GTDB
U4	178	Urine	GTDB
U6	339	Urine	GTDB
U7	93	Urine	GTDB
U8	147	Urine	GTDB
U10	132	Urine	GTDB
U11	99	Urine	GTDB
U13	112	Urine	GTDB
U15	144	Urine	GTDB
U17	106	Urine	GTDB
U21	99	Urine	GTDB
U22	60	Urine	GTDB
U23	85	Urine	GTDB
U25	127	Urine	GTDB
U26	122	Urine	GTDB
U29	110	Urine	GTDB
U30	136	Urine	GTDB
U31	223	Urine	GTDB
U39	143	Urine	GTDB
U42	129	Urine	GTDB
U43	75	Urine	GTDB
U47	113	Urine	GTDB
U49	123	Urine	GTDB
U50	115	Urine	GTDB
U2	171	Urine	GTDB
U5	240	Urine	GTDB
U9	158	Urine	GTDB
U12	105	Urine	GTDB
U14	83	Urine	GTDB
U18	185	Urine	GTDB
U19	199	Urine	GTDB
U20	113	Urine	GTDB
U24	126	Urine	GTDB
U27	147	Urine	GTDB
U28	167	Urine	GTDB
U32	110	Urine	GTDB
U33	158	Urine	GTDB
U34	136	Urine	GTDB
U35	128	Urine	GTDB
U36	75	Urine	GTDB
U37	85	Urine	GTDB
U38	127	Urine	GTDB
U40	125	Urine	GTDB
U41	153	Urine	GTDB
U44	116	Urine	GTDB
U45	156	Urine	GTDB
U46	177	Urine	GTDB
U51	98	Urine	GTDB
U52	117	Urine	GTDB
U54	83	Urine	GTDB
U56	209	Urine	GTDB
U57	135	Urine	GTDB
U58	97	Urine	GTDB
U59	71	Urine	GTDB
U60	62	Urine	GTDB
U61	55	Urine	GTDB
U63	121	Urine	GTDB
U64	120	Urine	GTDB
U66	145	Urine	GTDB
U68	134	Urine	GTDB
U69	153	Urine	GTDB
U70	96	Urine	GTDB
U71	157	Urine	GTDB
U72	121	Urine	GTDB
U73	156	Urine	GTDB
U74	137	Urine	GTDB
U78	126	Urine	GTDB
U79	172	Urine	GTDB
U80	108	Urine	GTDB
U81	129	Urine	GTDB
U82	158	Urine	GTDB
U83	243	Urine	GTDB
U89	145	Urine	GTDB
U90	98	Urine	GTDB
U91	97	Urine	GTDB
U92	66	Urine	GTDB
U93	63	Urine	GTDB
U95	90	Urine	GTDB
U96	105	Urine	GTDB
U99	135	Urine	GTDB
U101	82	Urine	GTDB
U102	281	Urine	GTDB
U53	85	Urine	GTDB
U55	114	Urine	GTDB
U62	61	Urine	GTDB
U65	103	Urine	GTDB
U67	125	Urine	GTDB
U75	171	Urine	GTDB
U77	83	Urine	GTDB
U86	84	Urine	GTDB
U87	77	Urine	GTDB
U88	67	Urine	GTDB
U94	104	Urine	GTDB
U97	222	Urine	GTDB
U76	75	Urine	GTDB
U84	68	Urine	GTDB
U85	65	Urine	GTDB
U98	76	Urine	GTDB
U100	76	Urine	GTDB
U103	170	Urine	GTDB
S1	1274	Saliva	HROM
S10	1022	Saliva	HROM
S100	1388	Saliva	HROM
S101	1247	Saliva	HROM
S102	1092	Saliva	HROM
S103	421	Saliva	HROM
S11	1231	Saliva	HROM
S12	1455	Saliva	HROM
S13	1156	Saliva	HROM
S14	1300	Saliva	HROM
S15	1519	Saliva	HROM
S17	1369	Saliva	HROM
S18	1141	Saliva	HROM
S19	1479	Saliva	HROM
S2	1575	Saliva	HROM
S20	1243	Saliva	HROM
S21	1470	Saliva	HROM
S22	1029	Saliva	HROM
S23	964	Saliva	HROM
S24	1306	Saliva	HROM
S25	1589	Saliva	HROM
S26	1225	Saliva	HROM
S27	1302	Saliva	HROM
S28	768	Saliva	HROM
S29	1173	Saliva	HROM
S3	1620	Saliva	HROM
S30	815	Saliva	HROM
S31	1363	Saliva	HROM
S32	1356	Saliva	HROM
S33	1202	Saliva	HROM
S34	1330	Saliva	HROM
S35	1119	Saliva	HROM
S36	1080	Saliva	HROM
S37	1178	Saliva	HROM
S38	1182	Saliva	HROM
S39	995	Saliva	HROM
S4	1156	Saliva	HROM
S40	1491	Saliva	HROM
S41	1410	Saliva	HROM
S42	1361	Saliva	HROM
S43	1314	Saliva	HROM
S44	522	Saliva	HROM
S45	1439	Saliva	HROM
S46	966	Saliva	HROM
S47	1337	Saliva	HROM
S49	1402	Saliva	HROM
S5	1186	Saliva	HROM
S50	1085	Saliva	HROM
S51	1347	Saliva	HROM
S52	888	Saliva	HROM
S53	1036	Saliva	HROM
S54	939	Saliva	HROM
S55	921	Saliva	HROM
S56	1103	Saliva	HROM
S57	1272	Saliva	HROM
S58	1197	Saliva	HROM
S59	1084	Saliva	HROM
S6	1239	Saliva	HROM
S60	998	Saliva	HROM
S61	1300	Saliva	HROM
S62	1079	Saliva	HROM
S63	1488	Saliva	HROM
S64	887	Saliva	HROM
S65	1191	Saliva	HROM
S66	1102	Saliva	HROM
S67	808	Saliva	HROM
S68	1325	Saliva	HROM
S69	1021	Saliva	HROM
S7	1268	Saliva	HROM
S70	1212	Saliva	HROM
S71	1050	Saliva	HROM
S72	1090	Saliva	HROM
S73	1078	Saliva	HROM
S74	1041	Saliva	HROM
S75	1217	Saliva	HROM
S76	1243	Saliva	HROM
S77	1301	Saliva	HROM
S78	1167	Saliva	HROM
S79	1162	Saliva	HROM
S8	1214	Saliva	HROM
S80	1175	Saliva	HROM
S81	988	Saliva	HROM
S82	1270	Saliva	HROM
S83	705	Saliva	HROM
S84	1195	Saliva	HROM
S85	1261	Saliva	HROM
S86	1248	Saliva	HROM
S87	940	Saliva	HROM
S88	1395	Saliva	HROM
S89	484	Saliva	HROM
S9	1354	Saliva	HROM
S90	461	Saliva	HROM
S91	793	Saliva	HROM
S92	1166	Saliva	HROM
S93	1348	Saliva	HROM
S94	1708	Saliva	HROM
S95	1419	Saliva	HROM
S96	980	Saliva	HROM
S97	1269	Saliva	HROM
S98	895	Saliva	HROM
S99	1131	Saliva	HROM
U1	194	Urine	HROM
U2	117	Urine	HROM
U3	121	Urine	HROM
U4	88	Urine	HROM
U5	161	Urine	HROM
U6	135	Urine	HROM
U10	31	Urine	HROM
U100	19	Urine	HROM
U101	27	Urine	HROM
U102	20	Urine	HROM
U103	14	Urine	HROM
U11	28	Urine	HROM
U12	23	Urine	HROM
U13	19	Urine	HROM
U14	16	Urine	HROM
U15	19	Urine	HROM
U17	26	Urine	HROM
U18	57	Urine	HROM
U19	39	Urine	HROM
U20	23	Urine	HROM
U21	24	Urine	HROM
U22	12	Urine	HROM
U23	26	Urine	HROM
U24	23	Urine	HROM
U25	17	Urine	HROM
U26	34	Urine	HROM
U27	31	Urine	HROM
U28	33	Urine	HROM
U29	22	Urine	HROM
U30	34	Urine	HROM
U31	31	Urine	HROM
U32	29	Urine	HROM
U33	37	Urine	HROM
U34	28	Urine	HROM
U35	26	Urine	HROM
U36	22	Urine	HROM
U37	19	Urine	HROM
U38	24	Urine	HROM
U39	32	Urine	HROM
U40	33	Urine	HROM
U41	40	Urine	HROM
U42	24	Urine	HROM
U43	21	Urine	HROM
U44	34	Urine	HROM
U45	42	Urine	HROM
U46	54	Urine	HROM
U47	40	Urine	HROM
U49	38	Urine	HROM
U50	30	Urine	HROM
U51	27	Urine	HROM
U52	19	Urine	HROM
U53	25	Urine	HROM
U54	15	Urine	HROM
U55	20	Urine	HROM
U56	133	Urine	HROM
U57	23	Urine	HROM
U58	21	Urine	HROM
U59	10	Urine	HROM
U60	15	Urine	HROM
U61	12	Urine	HROM
U62	13	Urine	HROM
U63	32	Urine	HROM
U64	37	Urine	HROM
U65	34	Urine	HROM
U66	39	Urine	HROM
U67	30	Urine	HROM
U68	39	Urine	HROM
U69	62	Urine	HROM
U7	19	Urine	HROM
U70	28	Urine	HROM
U71	37	Urine	HROM
U72	31	Urine	HROM
U73	35	Urine	HROM
U74	35	Urine	HROM
U75	36	Urine	HROM
U76	24	Urine	HROM
U77	28	Urine	HROM
U78	42	Urine	HROM
U79	33	Urine	HROM
U8	31	Urine	HROM
U80	29	Urine	HROM
U81	45	Urine	HROM
U82	72	Urine	HROM
U83	49	Urine	HROM
U84	30	Urine	HROM
U85	28	Urine	HROM
U86	27	Urine	HROM
U87	24	Urine	HROM
U88	21	Urine	HROM
U89	42	Urine	HROM
U9	22	Urine	HROM
U90	21	Urine	HROM
U91	15	Urine	HROM
U92	11	Urine	HROM
U93	20	Urine	HROM
U94	30	Urine	HROM
U95	21	Urine	HROM
U96	26	Urine	HROM
U97	26	Urine	HROM
U98	16	Urine	HROM
U99	17	Urine	HROM
